2023-05-31 18:29:33.617085-0500 ObjectDetection-CoreML[13901:4839331] Metal API Validation Enabled
2023-05-31 18:29:42.780758-0500 ObjectDetection-CoreML[13901:4839331] yawn at 2023-05-31_6:29:42.780 PM
2023-05-31 18:29:42.911857-0500 ObjectDetection-CoreML[13901:4839331] yawn at 2023-05-31_6:29:42.911 PM
2023-05-31 18:29:42.915987-0500 ObjectDetection-CoreML[13901:4839331] yawn at 2023-05-31_6:29:42.916 PM
2023-05-31 18:29:42.933362-0500 ObjectDetection-CoreML[13901:4839331] yawn at 2023-05-31_6:29:42.933 PM
2023-05-31 18:29:45.341551-0500 ObjectDetection-CoreML[13901:4839331] closed_eyes at 2023-05-31_6:29:45.341 PM
2023-05-31 18:29:48.681373-0500 ObjectDetection-CoreML[13901:4839331] not_facing_front at 2023-05-31_6:29:48.681 PM
2023-05-31 18:29:48.723923-0500 ObjectDetection-CoreML[13901:4839331] not_facing_front at 2023-05-31_6:29:48.724 PM
2023-05-31 18:29:48.733770-0500 ObjectDetection-CoreML[13901:4839331] not_facing_front at 2023-05-31_6:29:48.733 PM
2023-05-31 18:29:48.738327-0500 ObjectDetection-CoreML[13901:4839331] not_facing_front at 2023-05-31_6:29:48.738 PM
