2023-05-31 18:25:43.667122-0500 ObjectDetection-CoreML[13868:4836360] Metal API Validation Enabled
2023-05-31 18:25:51.206881-0500 ObjectDetection-CoreML[13868:4836360] closed_eyes at 2023-05-31_6:25:51.206 PM
2023-05-31 18:25:53.612732-0500 ObjectDetection-CoreML[13868:4836360] closed_eyes at 2023-05-31_6:25:53.612 PM
2023-05-31 18:25:55.746344-0500 ObjectDetection-CoreML[13868:4836360] closed_eyes at 2023-05-31_6:25:55.746 PM
2023-05-31 18:25:58.764675-0500 ObjectDetection-CoreML[13868:4836360] not_facing_front at 2023-05-31_6:25:58.764 PM
2023-05-31 18:25:58.805935-0500 ObjectDetection-CoreML[13868:4836360] not_facing_front at 2023-05-31_6:25:58.806 PM
2023-05-31 18:25:58.817701-0500 ObjectDetection-CoreML[13868:4836360] not_facing_front at 2023-05-31_6:25:58.817 PM
2023-05-31 18:25:58.821103-0500 ObjectDetection-CoreML[13868:4836360] not_facing_front at 2023-05-31_6:25:58.821 PM
2023-05-31 18:26:02.881624-0500 ObjectDetection-CoreML[13868:4836360] not_facing_front at 2023-05-31_6:26:02.881 PM
2023-05-31 18:26:02.893546-0500 ObjectDetection-CoreML[13868:4836360] not_facing_front at 2023-05-31_6:26:02.893 PM
2023-05-31 18:26:02.915570-0500 ObjectDetection-CoreML[13868:4836360] not_facing_front at 2023-05-31_6:26:02.915 PM
2023-05-31 18:26:19.232012-0500 ObjectDetection-CoreML[13868:4836360] yawn at 2023-05-31_6:26:19.231 PM
2023-05-31 18:26:19.321123-0500 ObjectDetection-CoreML[13868:4836360] yawn at 2023-05-31_6:26:19.321 PM
2023-05-31 18:26:19.334490-0500 ObjectDetection-CoreML[13868:4836360] yawn at 2023-05-31_6:26:19.334 PM
2023-05-31 18:26:19.337258-0500 ObjectDetection-CoreML[13868:4836360] yawn at 2023-05-31_6:26:19.337 PM
2023-05-31 18:26:19.355986-0500 ObjectDetection-CoreML[13868:4836360] yawn at 2023-05-31_6:26:19.356 PM
2023-05-31 18:26:19.363387-0500 ObjectDetection-CoreML[13868:4836360] yawn at 2023-05-31_6:26:19.363 PM
2023-05-31 18:26:27.213325-0500 ObjectDetection-CoreML[13868:4836360] not_facing_front at 2023-05-31_6:26:27.213 PM
2023-05-31 18:26:27.259228-0500 ObjectDetection-CoreML[13868:4836360] not_facing_front at 2023-05-31_6:26:27.258 PM
2023-05-31 18:26:27.267921-0500 ObjectDetection-CoreML[13868:4836360] not_facing_front at 2023-05-31_6:26:27.268 PM
2023-05-31 18:26:27.440691-0500 ObjectDetection-CoreML[13868:4836360] not_facing_front at 2023-05-31_6:26:27.440 PM
